title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
Tom Clancy's Splinter Cell: Te,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dai Makaimura,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Abandoned Places: A Time for H,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dink Smallwood,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mini Motorways,NULL,NULL,NULL,NULL,1,Other Region,Other Region
SVC Chaos: SNK vs. Capcom,0.0799999982118607,NULL,0.0199999995529652,0,3,North America,Other Region
Tape Worm,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Cabela's Big Game Hunter,0.769999988377094,NULL,0.560000021010637,0.180000007152557,3,North America,Other Region
AeroFighters Assault,0.150000005960464,NULL,0.0399999991059303,0,1,North America,Other Region
4 Game Fun Pack: Monopoly / Bo,0.109999999403954,NULL,0,0.00999999977648258,1,North America,Europe and Africa
Koutetsu no Kishi 2: Sabaku no,NULL,0,NULL,0,1,Japan,Japan
Imadoki no Vampire: Bloody Bri,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Duludubi Star,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Organ Biker,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Kameni no Merchant!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Witch Rise,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Grease,0.359999991953373,NULL,0.239999994635582,0.0600000005215406,2,North America,Other Region
UEFA Euro 2008 Austria-Switzer,0.249999994412065,NULL,0.63000001013279,0.429999997839332,5,Europe and Africa,Other Region
Kikou Heidan J-Phoenix 2,NULL,0.0399999991059303,NULL,NULL,1,Japan,Other Region
Aliens versus Predator,NULL,NULL,0.00999999977648258,0,1,Europe and Africa,Other Region
International Athletics,NULL,NULL,0,0,4,Europe and Africa,Europe and Africa
Q*bert: Rebooted,NULL,NULL,NULL,NULL,7,Other Region,Other Region
Mickey's Runaway Zoo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Superstars V8 Racing,0,NULL,0.0399999991059303,0.00999999977648258,4,Europe and Africa,North America
18 Wheels of Steel: Pedal to t,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ilya Muromets,NULL,NULL,NULL,NULL,1,Other Region,Other Region
